name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
PUMDENA,3,0.0440228,2.91195,3.08805,2.94224,0.0438221,2.8546,3.02989
LITHDENA,3.41497,0.0167367,3.3815,3.44845,3.38021,0.0167347,3.34674,3.41368
MEDIAN_GA,-0.25,0.5,-1.25,0.75,-0.225517,0.464497,-1.15451,0.703476
FALL_TIMA,2,1,0,4,2.00975,1,0.00975484,4.00975
PLUME_HEA,3.90309,0.0554622,3.79217,4.01401,3.90688,0.0490867,3.8087,4.00505
DIFFUSIOA,3,0.86928,1.26144,4.73856,2.80694,0.86928,1.06838,4.5455
WD_A_00,2.6902,0.0607595,2.56868,2.81172,2.6902,0.0607595,2.56868,2.81172
WD_A_01,2.6902,0.0607595,2.56868,2.81172,2.5563,0.0606484,2.43501,2.6776
WD_A_02,2.6902,0.0607595,2.56868,2.81172,2.68836,0.0529298,2.5825,2.79422
WD_A_03,2.6902,0.0607595,2.56868,2.81172,2.69514,0.0353799,2.62438,2.7659
WD_A_04,2.6902,0.0607595,2.56868,2.81172,2.69603,0.040089,2.61585,2.7762
WD_A_05,2.6902,0.0607595,2.56868,2.81172,2.69123,0.0370097,2.61721,2.76525
WD_A_06,2.6902,0.0607595,2.56868,2.81172,2.68774,0.0381046,2.61153,2.76395
WD_A_07,2.6902,0.0607595,2.56868,2.81172,2.68898,0.0392916,2.6104,2.76756
WD_A_08,2.6902,0.0607595,2.56868,2.81172,2.68899,0.0557779,2.57743,2.80054
WD_A_09,2.6902,0.0607595,2.56868,2.81172,2.5563,0.0607595,2.43478,2.67782
WD_A_10,2.6902,0.0607595,2.56868,2.81172,2.6902,0.0607595,2.56868,2.81172
WS_A_00,0.69897,0.444538,-0.190106,1.58805,0.69897,0.444538,-0.190106,1.58805
WS_A_01,0.69897,0.444538,-0.190106,1.58805,0,0.443871,-0.887742,0.887742
WS_A_02,1,0.475772,0.048455,1.95154,0.557416,0.463448,-0.36948,1.48431
WS_A_03,1.17609,0.519795,0.136501,2.21568,1.0979,0.441878,0.21415,1.98166
WS_A_04,1.30103,0.519795,0.261439,2.34062,1.36,0.424001,0.511995,2.208
WS_A_05,1.47712,0.519795,0.437531,2.51671,1.58025,0.383637,0.812976,2.34752
WS_A_06,1.60206,0.519795,0.562469,2.64165,1.65341,0.407871,0.837667,2.46915
WS_A_07,1.69897,0.519795,0.659379,2.73856,1.73673,0.356263,1.02421,2.44926
WS_A_08,1.77815,0.519795,0.738561,2.81774,1.81272,0.465132,0.882454,2.74298
WS_A_09,1.8451,0.519795,0.805507,2.88469,2.03706,0.519795,0.997466,3.07665
WS_A_10,1.90309,0.519795,0.863499,2.94268,1.90309,0.519795,0.863499,2.94268
STD_GRAIA,0.30103,0.11928,0.0624694,0.539591,0.324542,0.110663,0.103215,0.545869
ALPHAA,0,0.75,-1.5,1.5,-1.78239,0.749312,-3.28101,-0.283766
EDDY_CONA,-1.39794,0.488561,-2.37506,-0.420819,-1.39501,0.186742,-1.76849,-1.02153
ERUPTIONA,10.7404,1,8.74036,12.7404,10.5337,0.123783,10.2862,10.7813
